City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Talnakh,RU,2021-09-23 04:47:38,69.4865,88.3972,37.63,63,28,2.3
277,Tiznit,MA,2021-09-23 04:47:39,29.5833,-9.5,61.61,75,98,1.88
278,Umea,SE,2021-09-23 04:47:39,63.8284,20.2597,49.93,100,90,19.57
279,Huangmei,CN,2021-09-23 04:47:40,30.1924,116.025,87.85,46,36,5.64
280,Gumdag,TM,2021-09-23 04:47:41,39.2061,54.5906,78.89,12,0,20.11
281,Omsukchan,RU,2021-09-23 04:47:42,62.5333,155.8,45.55,61,97,4.76
282,Tuatapere,NZ,2021-09-23 04:47:43,-46.1333,167.6833,57.81,67,97,2.15
283,Never,FR,2021-09-23 04:47:43,46.9896,3.159,49.75,91,28,2.35
284,Tamsweg,AT,2021-09-23 04:47:44,47.1281,13.811,43.02,88,4,2.93
285,Lagoa,PT,2021-09-23 04:47:45,39.05,-27.9833,69.19,71,2,10.74
286,Buin,CL,2021-09-23 04:47:46,-33.7333,-70.75,48.24,76,32,2.39
287,Todos Santos,MX,2021-09-23 04:47:46,23.45,-110.2167,85.01,90,60,3.22
288,Atasu,KZ,2021-09-23 04:47:47,48.6814,71.6433,50.0,36,4,10.89
289,Kahului,US,2021-09-23 04:47:47,20.8947,-156.47,78.82,66,40,18.41
290,Mattru,SL,2021-09-23 04:47:48,7.6244,-11.8332,73.35,98,100,1.66
291,Leningradskiy,RU,2021-09-23 04:47:48,69.3833,178.4167,26.35,74,100,1.57
292,Santa Maria,BR,2021-09-23 04:44:09,-29.6842,-53.8069,52.74,90,67,8.63
